a/an	一個
able	有能力的
about	有關
above	在...之上
according	根據
across	穿過
act	行為
action	活動
actor/actress	演員
add	增加
address	住址
adult	成人(的)
afraid	害怕的
after	在...之後
afternoon	下午
again	再度
against	反對
age	年齡
ago	...之前
agree	同意
agreement	協定
ahead	向前
air	空氣
airmail	航空郵件
airplane	飛機
airport	機場
all	全部的
allow	允許
almost	幾乎
alone	獨自
along	沿著
already	已經
also	並且
always	總是
among	在...之間
and	和
anger	憤怒
angry	生氣的
angrily	憤怒地
animal	動物
another	另一個
answer	回答
ant	螞蟻
any	任何
anything	任何事物
ape	類人猿(無尾)
appear	出現
apple	蘋果
April	四月
area	地區
arm	手臂
army	陸軍；軍隊
around	環繞
art	藝術
as	同樣的
ask	要求
August	八月
aunt	姑媽
autumn	秋天
away	離開地
baby	嬰兒
back	背部
bad	有害的
bag	袋子
ball	球；舞會
balloon	汽球
banana	香蕉
band	樂團；繩子
bank	河岸；銀行
bar	酒吧
barber	理髮師
base	基礎
baseball	棒球
basic	基礎的
basically	基本上
basket	籃子
basketball	籃球
bat	球棒；蝙蝠
bath	沐浴
bathe	浸泡
bathroom	浴室
beach	沙灘
bear	熊
beat	拍子
beautiful	美麗的
beautifully	美好地
beauty	美貌
because	因為
become	成為
bed	床
bee	蜜蜂
before	在...之前
begin	開始
beginning	開始
behind	在後面
believe	相信
bell	鐘
belly	肚子
belong	屬於
below	在下面
beside	在...旁邊
best	最好的
better	更好的
between	在...之間
bicycle	腳踏車
big	大的
bird	鳥
birth	出生
bit	少量
bite	咬
black	黑的
block	街區
blood	血
blow	吹
blue	藍色
boat	船
body	身體
bone	骨頭
book	書；預約
born	天生的
boss	老闆
both	兩者
bottom	底部
bowl	碗
box	箱子；拳擊
boy	男孩
brave	勇敢的
bread	麵包
break	休息
breakfast	早餐
bridge	橋梁
bright	閃耀的
bring	帶來
brother	兄弟
brown	棕色的
bug	昆蟲
build	建造
building	建築物
bus	公車
busy	忙碌的
but	但是
butter	奶油
butterfly	蝴蝶
buy	買
by	旁邊
cage	鳥籠
cake	蛋糕
call	呼叫
camel	駱駝
camera	照相機
camp	紮營
can	能夠；罐頭
candy	糖果
cap	帽子
car	汽車
card	卡片
care	擔心
careful	小心的
carefully	小心地
carry	運送
case	事件；箱子
cat	貓
catch	捕捉
cause	原因
cent	分（一美元的百分之一）
center	中央
certain	確實的
certainly	必定
chair	椅子
chance	機會
chart	圖表
chase	追蹤
check	檢查
chick	小雞
chicken	膽小鬼
chief	首領
child	小孩
Christmas	耶誕節
church	教堂
city	城市
class	班級
clean	乾淨的
clear	清楚的
climb	攀爬
clock	時鐘
close	關閉；親密的
closely	仔細地
cloud	雲
coast	海岸
coat	大衣
cocoa	可可亞
coffee	咖啡
coke	可口可樂
cold	冷的
color	顏色
come	來到
common	共同的
continue	繼續
continuous	無間斷的
cook	烹調
cookie	餅乾
cool	涼爽的
corn	玉米
correct	正確的
correction	改正
cost	花費
count	計數
country	國家；鄉下
course	路線；課程
cover	覆蓋
cow	母牛
cowboy	牛仔
crow	烏鴉
cry	哭喊
cub	新手；幼獸
cup	茶杯；獎盃
cut	切割
cute	可愛的
daddy	爸爸
dance	跳舞
dancer	舞者
danger	危險
dark	黑暗
date	日期；約會
daughter	女兒
day	白天
dead	死的
deal	交易
dear	親愛的
death	死亡
December	十二月
decide	決定
deep	深的
deeply	深深地
deer	鹿
desk	書桌
die	死
different	不同的
difficult	困難的
dig	挖掘
dinner	晚餐
direct	直接的；指導
dirty	骯髒的
discover	發現
dish	盤子
do	做
doctor/doc	醫生；博士
dog	狗
doll	打扮；洋娃娃
dollar	元
door	門
dove	鴿子
down	向下
downstairs	樓下
dozen	一打，十二個
draw	拉；畫
dream	夢想
drink	喝
drive	開車
driver	駕駛
dry	乾的
duck	鴨子
duckling	小鴨
during	在...期間
each	各自
eagle	鷹
ear	耳朵
early	早的
earth	地球；土壤
ease	放鬆
east	東方
easy	容易的
eat	吃
edge	邊緣
egg	蛋
eight	八
eighteen	十八
eighty	八十
either	兩者中任一；也
elephant	大象
eleven	十一
else	其他
end	結束
English	英文
enough	足夠的
enter	進入
equal	相等
even	均一的；甚至
evening	傍晚
ever	曾經
every	每個
examination	檢查
exam	考試
examine	檢查
example	例子
except	除...之外
eye	眼睛
face	面對；臉
fact	事實
factory	工廠
fall	落下；瀑布；秋天
false	錯誤的
family	家人
fan	電扇；粉絲
far	遠方的
farm	農場
farmer	農民
fast	快的
fat	肥胖的
father	父親
Father	神
fear	害怕
February	二月
feed	餵
feel	觸摸
feeling	感覺
few	少數
fifteen	十五
fifty	五十
fight	戰鬥
fill	裝滿
final	最後的
finally	最後
find	發現
finding	研究結果
fine	罰金；精巧的
finger	指頭
finish	完成
finished	完成了
fire	火；發射；熱情；開除
first	第一的
fish	魚
five	五
floor	地板
flower	花
fly	飛；蒼蠅
fog	霧
follow	跟隨
food	食物
foot	腳；英尺
for	為了
force	強迫；軍隊
foreign	外國的
forest	森林
forget	忘記
forgetful	健忘的
fork	叉子
forty	四十
four	四
fourteen	十四
free	免費的；自由的
fresh	新鮮的
Friday	星期五
friend	朋友
frog	青蛙
from	從...；防止
front	前面的
fruit	水果
full	滿的
fun	趣味
funny	好笑的
game	遊戲
garden	花園
gas	氣體；瓦斯
general	一般性的
generally	大致上
get	得到
ghost	鬼
ghostly	朦朧不清的
gift	禮物；天賦
girl	女孩
give	給予
glad	高興的
glass	玻璃
glasses	眼鏡
go	去
