ability	能力
abroad	去(在)國外
absence	缺席
absent	缺席的
accept	接受
accident	意外事件
active	活躍的；積極的
addition	添加
advance	前進；進步
affair	事件
aid	援助
aim	目標；瞄準；志在
aircraft	航空器
airline	航空公司；航線
airliner	(大型)定期客機
alarm	警報；使恐懼
album	黏貼簿；專輯
alike	相同的；相同地
alive	活的；有生氣的
aloud	發出聲音地；大聲地
alphabet	字母
alphabetic(al)	依字母順序的
although	雖然
altogether	完全地；大體上
amount	量
ancient	古代的
ankle	腳踝
anyhow	無論如何
anytime	無論何時；不客氣
anywhere	任何地方
apartment	公寓
appearance	出現；外貌
appetite	胃口
appetizing	促進食慾的
appetizer	開胃菜
apply	應用；申請；適合
apron	圍裙
argue	討論；爭論
arguement	議論；理由
arm	武裝
armchair	扶手椅
arrange	整理；安排；商量
arrangement	整理；安排；商議
arrest	逮捕
arrive	到達
arrow	箭
article	物品；報導
artist	藝術家
asleep	睡著的
assistant	輔助的；助理
attack	攻擊；發病
attend	出席；注意
attentive	專注的
attentively	專注地
attention	注意力
avoid	避免
baby-sit	當臨時保母
baby-sitter	保母
backward(s)	向後地
badminton	羽毛球
bake	烘烤
bakery	麵包店
baker	麵包師傅
balcony	陽台
bamboo	竹
banker	銀行家
barbecue	火烤；串燒
bark	吠叫；樹皮
basement	地下室
basis	基礎
battle	戰鬥；作戰
bead	珠子；飾以珠子
bean	豆子
bear	運送；支持；忍受；生育
beard	山羊鬍
bedroom	臥室
beef	牛肉
beer	啤酒
beetle	甲蟲
beg	乞討；懇請
beginner	初學者
belief	相信；信仰
believable	可信的
belt	皮帶；腰帶
bench	長凳
bend	使彎曲；彎曲
besides	除此之外
bet	打賭
beyond	越過
bill	帳單；鈔票；法案
bind	綁；束縛
birth	誕生；出身
bitter	苦的
blackboard	黑板
blank	空白的；空白處
blind	盲目的
bloody	殘忍的；血腥的
board	板；膳食；委員會；寄宿；乘坐
boil	燒開；沸騰
bomb	炸彈
bony	骨瘦如柴的
bookcase	書櫥
borrow	借入
bother	費神；麻煩
bottle	瓶子
bow	弓；蝴蝶結；鞠躬
bowling	保齡球
brain	腦
branch	樹枝；分店；分岔
brand	品牌
brick	磚
brief	短暫的；簡潔的；摘要
broad	寬闊的
broadcast	廣播；廣播節目
brunch	早午餐
brush	刷子；刷
bundle	包；捆；束
burn	燒
burst	爆發
business	工作；商業；該做的事
businessman	商人
button	鈕扣
cabbage	甘藍菜
cable	電纜
café	咖啡館；餐館
cafeteria	自助餐廳
calendar	日曆
calm	平靜的
campus	校園
cancel	取消
cancer	癌
candle	蠟燭
captain	隊長；船長
carpet	地毯
carrot	胡蘿蔔
cart	手推車
cartoon	卡通
cash	現金
cassette	卡式磁帶
castle	城堡
cave	洞穴
ceiling	天花板
celebrate	慶祝
cell	細胞
central	中央的
century	世紀
cereal	穀物食品
chalk	粉筆
change	改變；找零錢
character	性格；人物
charge	收費；充電
cheap	便宜的；卑鄙的
cheat	欺騙；作弊
chemical	化學的
chess	西洋棋
childish	幼稚的
childlike	天真的
chin	下巴
chocolate	巧克力
choice	選擇權
choose	選擇；選舉
chopstick(s)	筷子
circle	圓圈；週期；圈子
citizen	公民
claim	主張；要求；奪走(人命)
clap	拍(手)
classic	典型的；經典之作
claw	爪子
clay	黏土；泥土
clerk	店員
clever	聰明的
climate	氣候
closet	櫥櫃
cloth	布
clothe	穿衣服
clothes	衣服
clothing	衣類
cloudy	多雲的
clown	小丑
club	俱樂部；棍子
coach	教練；大型四輪馬車
coal	煤炭
cock	公雞
cockroach	蟑螂
coin	硬幣
collect	收集；對方付費的
colorful	多采多姿的
comb	梳子
comfortable	舒適的
