aboard	搭乘；上車
acceptable	可接受的
account	帳戶；解釋
accurate	精確的
accurately	精確地
ache	疼痛；渴望
achieve	完成；獲得
achievement	成就
activity	活動；活力
actual	事實上的
actually	實際上
additional	附加的
additionally	此外
admire	讚美；欽佩
admit	承認；允許入場
adopt	採用；收養
adoption	採用；收養
advanced	先進的；高級的
advantage	益處
advantageous	有利的
adventure	冒險
adventurous	冒險的
adventurer	冒險家
advertise	做廣告
advertiser	登廣告者
advice	忠告；建議
advise	勸告
adviser/advisor	忠告者
affect	影響
afford	負擔得起
affordable	負擔得起的
afterward(s)	之後
agriculture	農業
agricultural	農業上的
air-conditioner	空調設備
air-conditioned	有空調的
alley	小巷子；(保齡球)球道
amaze	使吃驚
amazed	驚愕的
amazing	令人驚訝的
amazingly	令人吃驚地
amazement	驚訝
ambassador	大使
ambition	雄心
ambulance	救護車
angel	天使
angle	角度；看法
announce	宣布；顯露
announcement	公布
announcer	宣布者；播報員
apart	分開地
apparent	顯露的；表面的
apparently	明顯地；表面上
appeal	懇求；有吸引力
appealing	懇求的；有魅力的
appointment	任命；官職；約定
appreciate	感謝；欣賞
approach	靠近；著手從事；處理方式
approve	同意；認可
aquarium	水族館
arrival	到達
ash	灰；骨灰
aside	在旁邊
assist	幫助
athlete	運動員
attempt	嘗試；試圖
attitude	態度；意見
attract	吸引；引起
attractive	迷人的
audience	觀眾
author	作者
automatic	自動的
automobile	汽車
available	可利用的；有空的
avenue	大道；手段
average	平均；普通的
awake	醒著的；醒來
awaken	喚起
award	授予；頒發；獎品；獎金
aware	注意到
awful	恐怖的；極討厭的
awfully	極其地
ax/axe	斧頭
background	背景；經歷
bacon	培根肉
bacteria	細菌
badly	壞地；非常地
baggage	行李
bait	裝誘餌；餌
balance	使平衡；衡量；餘額
bandage	繃帶
bang	砰
bare	裸的
barely	勉強地
barn	穀倉
barrel	木桶
bay	海灣
beam	光線
beast	野獸
beggar	乞丐
behave	舉止；舉止檢點
being	存在物；存在
beneath	在...的下方；比...差
benefit	受益；利益
berry	莓果
Bible/bible	聖經
billion	十億
bingo	賓果遊戲；答對了
biscuit	比司吉；餅乾
blame	責怪；歸咎於
blanket	毛毯
bleed	流血
bless	祝福；保佑
blouse	(女用)襯衫
bold	大膽的
boot	靴子
border	邊界；鑲邊於
bore	使厭煩；討厭的人或事
brake	剎車
brass	黃銅；銅管樂器
bravery	勇敢
breast	乳房；胸部
breath	呼吸；一次呼吸
breathe	呼吸
breeze	微風；容易的事
bride	新娘
brilliant	燦爛的；傑出的
brook	小河
broom	掃帚
bubble	泡沫
bucket	水桶；大量
bud	新芽；花蕾；發芽
budget	預算；編預算
buffalo	水牛
buffet	歐式自助餐
bulb	電燈泡
bull	(未閹割的)公牛
bullet	子彈
bump	碰撞
bunch	串；束
burden	負荷物；成為...的負擔
burglar	竊賊
bury	埋葬；掩住
bush	灌木
buzz	嗡嗡響
cabin	小屋；船艙
cane	拐杖；藤條
canoe	(用槳划的)小船；以小船運送
canyon	峽谷
capable	有能力的
capability	能力
capital	大寫的；主要的
capture	捕獲；獲得
carpenter	木匠
carriage	馬車；嬰兒車；搬運
cast	投擲；鑄造；角色
casual	隨便的；非正式的；意外的
caterpillar	毛蟲
cattle	牛
celebration	祝賀；慶祝會
centimeter	公分
chain	連鎖店；鎖鏈
challenge	挑戰
challenging	具挑戰性的
champion	優勝者
changeable	善變的
channel	海峽；頻道；傳送
chapter	章節；時期
charm	魅力；美貌；迷惑
charming	迷人的
chat	聊天；閒談
cheek	臉頰
cheer	歡呼；喝采
cheerful	開朗的；快樂的
cheese	乳酪
cherry	櫻桃
chest	胸部；大箱子
chew	嚼
childhood	童年
chilly	冷的
chimney	煙囪
chip	碎片；洋芋片；削
chirp	鳥、蟲叫聲
choke	窒息；使堵塞
chop	砍；厚肉片
cigarette	香菸
cigar	雪茄
circus	馬戲團
classical	古典的
click	喀啦響
client	委託人；顧客
clip	剪報；迴紋針
clue	線索
cocktail	雞尾酒
coconut	椰子
collar	衣領
collection	收集
college	學院；大學
colony	殖民地
column	圓柱；縱列；專欄
combine	使結合
comfort	安慰；鼓勵
comma	逗號
command	命令；要求
commercial	商業的；廣告
committee	委員會；委員
