a/an	一個
a few	一些
a little	一些
a lot	許多
able	會
about	關於
above	在...之上
afraid	害怕的
after	在...之後
afternoon	下午
again	再次
age	年齡
ago	以前
agree	同意
air	空氣
airplane	飛機
airport	機場
all	全部
almost	差不多
along	沿著
already	已經
also	也
always	總是
a.m.	上午
America	美國
American	美國人
and	和
angry	生氣的
animal	動物
another	另一個
answer	回答
any	任一個
anyone	任何人
anything	任何事
apartment	公寓
appear	出現
apple	蘋果
April	四月
arm	手臂
around	在四周
arrive	到達
art	藝術
as	當...之時
ask	問
at	在...
August	八月
aunt	姨母
autumn	秋天
away	離去
