baby	嬰兒
back	背後
bad	壞的
bag	袋子
bakery	麵包店
ball	球
banana	香蕉
band	樂隊
bank	銀行
baseball	棒球
basket	籃子
basketball	籃球
bath	沐浴
bathroom	浴室
be	是
beach	海灘
bear	熊
beautiful	美麗的
because	因為
become	變成
bed	床
bedroom	臥室
bee	蜜蜂
beef	牛肉
before	在...之前
begin	開始
behind	在...之後
believe	相信
bell	鈴
belong	屬於
below	在...之下
belt	皮帶
beside	在...旁邊
between	在兩者之間
bicycle	腳踏車
big	大的
bird	鳥
birthday	生日
bite	咬
black	黑色
blackboard	黑板
blind	瞎的
block	街區
blow	吹
blue	藍色
boat	小船
body	身體
book	書
bookstore	書局
bored	感到厭倦的
boring	令人厭倦的
born	出生
borrow	借
boss	老闆
both	兩者
bottle	瓶子
bottom	底部
bowl	碗
box	盒子
boy	男孩
bread	麵包
break	打破
breakfast	早餐
bridge	橋
bright	光亮的
bring	把...帶來
brother	兄弟
brown	棕色
brush	刷子
build	建築
burn	燃燒
bus	巴士
business	職業
businessman	商人
busy	忙碌的
but	但是
butter	奶油
buy	購買
by	藉由
