cake	蛋糕
call	喊叫
camera	相機
camp	露營
can	可以
candy	糖果
cap	帽子
car	車子
card	卡片
care	操心
careful	小心的
carry	搬運
case	事件
cat	貓
catch	捕捉
celebrate	慶祝
cell phone	手機
cent	一分錢
center	中心
chair	椅子
chalk	粉筆
chance	機會
change	改變
cheap	便宜的
cheat	欺騙
cheer	喝采
cheese	乳酪
chicken	雞
child	小孩
China	中國
Chinese	中國人
chocolate	巧克力
chopsticks	筷子
Christmas	聖誕節
church	教堂
circle	圓形
city	城市
class	班級
classmate	同班同學
classroom	教室
clean	乾淨的
clear	清晰的
climb	攀登
clock	時鐘
close	靠近的
clothes	衣服
cloudy	多雲的
club	俱樂部
coat	外套
coffee	咖啡
Coke	可樂
cold	冷的
collect	蒐集
color	顏色
come	來
comfortable	舒服的
comic	漫畫
commom	共同的
computer	電腦
convenient	方便的
cook	烹飪
cookie	餅乾
cool	涼的
copy	副本
correct	正確的
cost	花費
couch	長椅
count	數
country	國家
cousin	堂(表)兄弟姐妹
cover	覆蓋
cow	母牛
crazy	瘋的
cross	越過
cry	哭泣
cup	杯子
cut	切
cute	可愛的
