face	臉部
fact	事實
factory	工廠
fall	落下
family	家庭
famous	有名的
fan	扇子
farm	農場
farmer	農夫
fast	快速的
fat	肥胖的
father	父親
favorite	最喜愛的
February	二月
feel	感覺
festival	節日
few	很少的
fifteen	十五
fifth	第五的
fifty	五十
fill	填滿
finally	最後
find	找到
fine	很好的
finger	手指
finish	完成
fire	火
first	第一的
fish	魚
fisherman	漁夫
five	五
fix	修理
floor	地板
flower	花
fly	飛
follow	跟隨
food	食物
foot	腳
for	為了
foreign	外國的
foreigner	外國人
forget	忘記
fork	叉子
forty	四十
four	四
fourteen	十四
fourth	第四的
free	免費的
fresh	新鮮的
Friday	星期五
friend	朋友
friendly	友善的
from	從
front	正面的
fruit	水果
full	充滿的
fun	樂趣
funny	好笑的
future	未來
