habit	習慣
hair	毛髮
half	一半
ham	火腿
hamburger	漢堡
hand	手
handsome	英俊的
happen	發生
happy	快樂的
hard	堅硬的
hard-working	辛勤工作的
hat	帽子
hate	憎恨
have	有
he	他
head	頭部
headache	頭痛
health	健康
healthy	健康的
hear	聽見
heart	心
heat	熱
heavy	重的
hello	哈囉
help	幫助
helpful	有用的
here	在這裡
hi	嗨
hide	隱藏
high	高的
hill	山丘
history	歷史學
hit	打擊
hobby	嗜好
hold	抱住
holiday	假日
home	家
homework	家庭作業
honest	誠實的
hope	希望
horse	馬
hospital	醫院
hot	熱的
hot dog	熱狗
hotel	飯店
hour	小時
house	房子
how	如何
however	然而
hundred	百
hungry	飢餓的
hurry	匆忙
hurt	受傷
husband	丈夫
