machine	機器
magic	魔法
mail	郵寄
mailman	郵差
make	製造
man	男人
many	許多的
map	地圖
March	三月
mark	標記
market	市場
married	已婚的
math	數學
matter	事件
may	可能
May	五月
maybe	或許
meal	餐
mean	意指
meat	肉
medicine	藥
medium	中間
meet	遇見
meeting	會議
menu	菜單
mile	英里
milk	牛奶
million	百萬
mind	心智
minute	分鐘
Miss	小姐
miss	想念
mistake	錯誤
modern	現代的
moment	片刻
Monday	星期一
money	金錢
monkey	猴子
month	月
moon	月亮
more	更多的
morning	早晨
most	大部分的
mother	母親
motorcycle	摩托車
mountain	山
mouse	老鼠
mouth	口
move	移動
movie	電影
Mr.	先生
Mrs.	夫人
Ms.	小姐
much	非常
museum	博物館
music	音樂
must	必須
