pack	包裝
package	包裹
page	頁
paint	繪畫
pair	一雙
pants	褲子
paper	紙
parent	父母親
park	公園
part	部分
party	舞會
pass	經過
past	過去的
pay	付款
PE	體育
pen	筆
pencil	鉛筆
perhaps	也許
person	人們
pet	寵物
piano	鋼琴
pick	挑選
picnic	野餐
picture	圖畫
pie	派
piece	塊
pig	豬
pink	粉紅色
pizza	披薩
place	地方
plan	計畫
play	彈奏
player	選手
playground	運動場
please	使高興
p.m.	午後
point	重點
police	警察
polite	有禮貌的
poor	貧窮的
popcorn	爆米花
popular	受歡迎的
pork	豬肉
possible	可能的
post office	郵局
postcard	明信片
pound	磅
practice	練習
prepare	準備
present	禮物
pretty	漂亮的
price	價格
problem	問題
program	節目
proud	驕傲的
public	公眾的
pull	拉
purple	紫色
push	推
put	放
