sad	傷心的
safe	安全的
salad	沙拉
sale	出售
salt	鹽
same	相同的
sandwich	三明治
Saturday	星期六
save	儲存
say	說
school	學校
sea	海
season	季節
seat	坐位
second	第二的
see	看
seldom	很少
sell	賣
send	寄
senior high school	國中
sentence	句子
September	九月
serious	正經的
seven	七
seventeen	十七
seventh	第七的
seventy	七十
several	數個的
shall	應該
shape	形狀
share	分享
she	她
sheep	羊
ship	船
shirt	襯衫
shoes	鞋子
shopkeeper	商主
short	短的
should	應該
shoulder	肩膀
show	出示
shy	害羞的
sick	生病的
side	邊
sidewalk	人行道
simple	簡單的
since	自從
sing	唱歌
singer	歌手
sir	先生
sister	姐妹
sit	坐
six	六
sixteen	十六
sixth	第六的
sixty	六十
size	尺寸
skirt	裙子
sky	天空
sleep	睡覺
slow	緩慢的
small	小的
smart	聰明的
smell	聞起來
smile	微笑
smoke	抽菸
snack	點心
snake	蛇
snow	下雪
so	如此地
socks	短襪
sofa	沙發
some	有些
someone	某人
something	某事
sometimes	有時候
somewhere	在某處
son	兒子
song	歌
soon	馬上
sorry	抱歉的
sound	聲音
soup	湯
south	南方
space	空間
speak	說話
special	特別的
spell	拼字
spend	花費
spoon	湯匙
sports	運動
spring	春天
square	正方形
stand	站立
star	星星
start	開始
station	車站
stay	停留
steak	牛排
still	仍然
stomach	胃
stop	停止
store	商店
story	故事
strange	奇怪的
stranger	陌生人
street	街道
strong	強壯的
student	學生
study	學習
stupid	愚笨的
successful	成功的
sugar	糖
summer	夏天
sun	太陽
Sunday	星期日
sunny	陽光普照的
supermarket	超級市場
sure	確定的
surprise	使驚訝
surprised	感到吃驚的
sweater	毛衣
sweet	甜的
swim	游泳
