table	桌子
Taiwan	台灣
take	拿
talk	說話
tall	高的
tape	錄音帶
taste	品嘗
taxi	計程車
tea	茶
teach	教導
teacher	老師
team	隊伍
teenager	青少年
telephone	電話
television	電視
tell	告訴
ten	十
tennis	網球
tenth	第十的
test	測驗
than	比...
thank	感謝
that	那個
the	這
theater	戲院
then	然後
there	那裡
these	這些
they	他們
thin	瘦的
thing	事情
think	想
third	第三的
thirsty	口渴的
thirteen	十三
thirty	三十
this	這個
those	那些
though	雖然
thousand	千
three	三
Thursday	星期四
ticket	票
tiger	老虎
time	時間
tired	疲倦
to	到...
today	今天
together	一起
tomato	番茄
tomorrow	明天
tonight	今晚
too	也
tooth	牙齒
touch	觸碰
towel	毛巾
town	城鎮
toy	玩具
traffic	交通
train	火車
tree	樹
trip	旅行
trouble	麻煩
truck	卡車
true	真實的
try	嘗試
Tuesday	星期二
turn	轉向
twelve	十二
twenty	二十
two	二
typhoon	颱風
