wait	等待
waiter	男服務生
waitress	女服務生
wake	醒來
walk	走路
wall	牆
want	想要
warm	溫暖的
wash	洗滌
watch	注視
water	水
way	方法
we	我們
weak	虛弱的
wear	穿著
weather	天氣
Wednesday	星期三
week	週
weekend	週末
welcome	歡迎
well	很好地
west	西方
wet	濕的
what	什麼
when	何時
where	何地
whether	是否
which	哪一個
white	白色
who	誰
whose	誰的
why	為什麼
wife	妻子
will	將會
win	獲勝
wind	風
window	窗戶
windy	有風的
winter	冬天
wise	聰明的
wish	但願
with	與...在一起
without	沒有...
woman	女人
wonderful	極好的
word	字
work	工作
workbook	練習簿
worker	工人
world	世界
worry	煩惱
write	寫
writer	作家
wrong	錯誤的
