a/an	一個
a few	一些
a little	一些
a lot	許多
able	會
about	關於
above	在...之上
afraid	害怕的
after	在...之後
afternoon	下午
again	再次
age	年齡
ago	以前
agree	同意
air	空氣
airplane	飛機
airport	機場
all	全部
almost	差不多
along	沿著
already	已經
also	也
always	總是
a.m.	上午
America	美國
American	美國人
and	和
angry	生氣的
animal	動物
another	另一個
answer	回答
any	任一個
anyone	任何人
anything	任何事
apartment	公寓
appear	出現
apple	蘋果
April	四月
arm	手臂
around	在四周
arrive	到達
art	藝術
as	當...之時
ask	問
at	在...
August	八月
aunt	姨母
autumn	秋天
away	離去
baby	嬰兒
back	背後
bad	壞的
bag	袋子
bakery	麵包店
ball	球
banana	香蕉
band	樂隊
bank	銀行
baseball	棒球
basket	籃子
basketball	籃球
bath	沐浴
bathroom	浴室
be	是
beach	海灘
bear	熊
beautiful	美麗的
because	因為
become	變成
bed	床
bedroom	臥室
bee	蜜蜂
beef	牛肉
before	在...之前
begin	開始
behind	在...之後
believe	相信
bell	鈴
belong	屬於
below	在...之下
belt	皮帶
beside	在...旁邊
between	在兩者之間
bicycle	腳踏車
big	大的
bird	鳥
birthday	生日
bite	咬
black	黑色
blackboard	黑板
blind	瞎的
block	街區
blow	吹
blue	藍色
boat	小船
body	身體
book	書
bookstore	書局
bored	感到厭倦的
boring	令人厭倦的
born	出生
borrow	借
boss	老闆
both	兩者
bottle	瓶子
bottom	底部
bowl	碗
box	盒子
boy	男孩
bread	麵包
break	打破
breakfast	早餐
bridge	橋
bright	光亮的
bring	把...帶來
brother	兄弟
brown	棕色
brush	刷子
build	建築
burn	燃燒
bus	巴士
business	職業
businessman	商人
busy	忙碌的
but	但是
butter	奶油
buy	購買
by	藉由
cake	蛋糕
call	喊叫
camera	相機
camp	露營
can	可以
candy	糖果
cap	帽子
car	車子
card	卡片
care	操心
careful	小心的
carry	搬運
case	事件
cat	貓
catch	捕捉
celebrate	慶祝
cell phone	手機
cent	一分錢
center	中心
chair	椅子
chalk	粉筆
chance	機會
change	改變
cheap	便宜的
cheat	欺騙
check	檢查
cheer	喝采
cheese	乳酪
chicken	雞
child	小孩
China	中國
Chinese	中國人
chocolate	巧克力
chopsticks	筷子
Christmas	聖誕節
church	教堂
circle	圓形
city	城市
class	班級
classmate	同班同學
classroom	教室
clean	乾淨的
clear	清晰的
climb	攀登
clock	時鐘
close	靠近的
clothes	衣服
cloudy	多雲的
club	俱樂部
coat	外套
coffee	咖啡
Coke	可樂
cold	冷的
collect	蒐集
color	顏色
come	來
comfortable	舒服的
comic	漫畫
commom	共同的
computer	電腦
convenient	方便的
cook	烹飪
cookie	餅乾
cool	涼的
copy	副本
correct	正確的
cost	花費
couch	長椅
count	數
country	國家
cousin	堂(表)兄弟姐妹
cover	覆蓋
cow	母牛
crazy	瘋的
cross	越過
cry	哭泣
cup	杯子
cut	切
cute	可愛的
dance	跳舞
dangerous	危險的
dark	黑暗的
date	日期
daughter	女兒
day	日子
dead	死的
dear	親愛的
December	十二月
decide	決定
delicious	美味的
department store	百貨公司
desk	書桌
dictionary	字典
die	死亡
different	不同的
difficult	困難的
dig	挖掘
dining room	飯廳
dinner	晚餐
dirty	骯髒的
dish	盤子
do	做
doctor	醫生
dog	狗
doll	洋娃娃
dollar	元
door	門
down	向下地
dozen	一打
draw	拉
dream	夢
dress	打扮
drink	喝
drive	開車
driver	司機
drop	滴下
dry	乾的
during	在...期間
each	每一
ear	耳朵
early	早
earth	地球
east	東方
easy	簡單的
eat	吃
egg	蛋
eight	八
eighteen	十八
eighth	第八的
eighty	八十
either	任一
elementary school	國小
elephant	象
eleven	十一
else	此外
e-mail	電子郵件
end	結束
English	英語
enjoy	享受
enough	足夠的
enter	進入
eraser	橡皮擦
eve	前夕
even	即使
evening	傍晚
ever	曾經
every	每一
everyone	每個人
everything	每件事
example	例子
excellent	極好的
except	除了...之外
excited	感到興奮的
exciting	令人興奮的
excuse	藉口
exercise	練習
expensive	昂貴的
experience	經驗
eye	眼睛
face	臉部
fact	事實
factory	工廠
fall	落下
family	家庭
famous	有名的
fan	扇子
farm	農場
farmer	農夫
fast	快速的
fat	肥胖的
father	父親
favorite	最喜愛的
February	二月
feel	感覺
festival	節日
few	很少的
fifteen	十五
fifth	第五的
fifty	五十
fill	填滿
finally	最後
find	找到
fine	很好的
finger	手指
finish	完成
fire	火
first	第一的
fish	魚
fisherman	漁夫
five	五
fix	修理
floor	地板
flower	花
fly	飛
follow	跟隨
food	食物
foot	腳
for	為了
foreign	外國的
foreigner	外國人
forget	忘記
fork	叉子
forty	四十
four	四
fourteen	十四
fourth	第四的
free	免費的
fresh	新鮮的
Friday	星期五
friend	朋友
friendly	友善的
from	從
front	正面的
fruit	水果
full	充滿的
fun	樂趣
funny	好笑的
future	未來
game	遊戲
garbage	廢物
garden	花園
gas	氣體
get	得到
gift	禮物
girl	女孩
give	給予
glad	高興的
glass	玻璃
glove	手套
go	去
goat	山羊
good	好的
good-bye	再見
grade	成績
grandfather	祖父
grandmother	祖母
grass	草
gray	灰色
great	大的
green	綠色
ground	地面
group	團體
grow	成長
guess	猜想
habit	習慣
hair	毛髮
half	一半
ham	火腿
hamburger	漢堡
hand	手
handsome	英俊的
happen	發生
happy	快樂的
hard	堅硬的
hard-working	辛勤工作的
hat	帽子
hate	憎恨
have	有
he	他
head	頭部
headache	頭痛
health	健康
healthy	健康的
hear	聽見
heart	心
heat	熱
heavy	重的
hello	哈囉
help	幫助
helpful	有用的
here	在這裡
hi	嗨
hide	隱藏
high	高的
hill	山丘
history	歷史學
hit	打擊
hobby	嗜好
hold	抱住
holiday	假日
home	家
homework	家庭作業
honest	誠實的
hope	希望
horse	馬
hospital	醫院
hot	熱的
hot dog	熱狗
hotel	飯店
hour	小時
house	房子
how	如何
however	然而
hundred	百
hungry	飢餓的
hurry	匆忙
hurt	受傷
husband	丈夫
I	我
ice	冰
ice cream	冰淇淋
idea	主意
if	假如
important	重要的
in	在...裡面
inside	在內部
interest	使感興趣
interested	感興趣的
interesting	有趣的
Internet	網際網路
into	進入
island	島
it	它
jacket	夾克
January	一月
jeans	牛仔褲
job	工作
jog	慢跑
join	參加
joy	愉快
juice	果汁
July	七月
jump	跳
June	六月
junior high school	國中
just	正好
keep	保持
key	鑰匙
kick	踢
kid	小孩子
kill	殺
kilogram	公斤
kind	種類
king	國王
kiss	親吻
kitchen	廚房
kite	風箏
knee	膝蓋
knife	刀
knock	敲
know	知道
knowledge	知識
lake	湖泊
lamp	燈
land	陸地
language	語言
large	廣大的
last	最後的
late	遲的
later	稍後
laugh	笑
lazy	懶惰的
lead	引導
leader	領導者
learn	學習
least	最少的
leave	離開
left	離開
leg	腿
lemon	檸檬
lend	借出
less	較少的
lesson	課
let	讓
letter	信
library	圖書館
lie	躺
life	生命
light	光線
like	喜歡
line	線
lion	獅子
lip	嘴唇
list	目錄
listen	聽
little	很少
live	居住
living room	客廳
lonely	寂寞的
long	長久
look	看
lose	遺失
loud	大聲的
love	喜愛
low	低的
lucky	幸運的
lunch	午餐
machine	機器
magic	魔法
mail	郵寄
mailman	郵差
make	製造
man	男人
many	許多的
map	地圖
March	三月
mark	標記
market	市場
married	已婚的
math	數學
matter	事件
may	可能
May	五月
maybe	或許
meal	餐
mean	意指
meat	肉
medicine	藥
medium	中間
meet	遇見
meeting	會議
menu	菜單
mile	英里
milk	牛奶
million	百萬
mind	心智
minute	分鐘
Miss	小姐
miss	想念
mistake	錯誤
modern	現代的
moment	片刻
Monday	星期一
money	金錢
monkey	猴子
month	月
moon	月亮
more	更多的
morning	早晨
most	大部分的
mother	母親
motorcycle	摩托車
mountain	山
mouse	老鼠
mouth	口
move	移動
movie	電影
Mr.	先生
Mrs.	夫人
Ms.	小姐
much	非常
museum	博物館
music	音樂
must	必須
name	姓名
national	國家的
near	靠近
neck	脖子
need	需要
neighbor	鄰居
never	從未
new	新的
news	新聞
next	下一個
nice	好的
night	夜晚
nine	九
nineteen	十九
ninety	九十
ninth	第九的
no	不是
nobody	沒有人
nod	點頭
noise	噪音
noodle	麵
noon	正午
north	北方
nose	鼻子
not	不
notebook	筆記本
nothing	無
notice	注意
November	十一月
now	現在
number	號碼
nurse	護士
o'clock	...點鐘
October	十月
of	...的
off	離開
office	辦公室
officer	官員
often	常常
oil	油
OK	好的
old	年老的
on	在...之上
once	一度
one	一
only	僅
open	打開
or	或
orange	柳橙
order	命令
other	其他的
out	向外
outside	在...的外邊
over	覆於...之上
own	擁有
pack	包裝
package	包裹
page	頁
paint	繪畫
pair	一雙
pants	褲子
paper	紙
parent	父母親
park	公園
part	部分
party	舞會
pass	經過
past	過去的
pay	付款
PE	體育
pen	筆
pencil	鉛筆
people	人們
perhaps	也許
person	人
pet	寵物
piano	鋼琴
pick	挑選
picnic	野餐
picture	圖畫
pie	派
piece	塊
pig	豬
pink	粉紅色
pizza	披薩
place	地方
plan	計畫
play	彈奏
player	選手
playground	運動場
please	使高興
p.m.	午後
point	重點
police	警察
polite	有禮貌的
poor	貧窮的
popcorn	爆米花
popular	受歡迎的
pork	豬肉
possible	可能的
post office	郵局
postcard	明信片
pound	磅
practice	練習
prepare	準備
present	禮物
pretty	漂亮的
price	價格
problem	問題
program	節目
proud	驕傲的
public	公眾的
pull	拉
purple	紫色
push	推
put	放
queen	皇后
question	問題
quick	迅速的
quiet	安靜的
quite	相當地
rabbit	兔子
radio	收音機
railway	鐵路
rain	下雨
rainbow	彩虹
rainy	多雨的
read	閱讀
ready	準備好的
real	真正的
really	真正地
red	紅色
refrigerator	冰箱
remember	記得
repeat	重複
rest	休息
restaurant	餐廳
restroom	洗手間
rice	米
rich	富有的
ride	騎乘
right	正確的
ring	鳴響
river	河流
road	道路
R.O.C	中華民國
room	房間
rose	玫瑰
round	圓形的
rule	規則
ruler	尺
run	跑
sad	傷心的
safe	安全的
salad	沙拉
sale	出售
salt	鹽
same	相同的
sandwich	三明治
Saturday	星期六
save	儲存
say	說
school	學校
sea	海
season	季節
seat	坐位
second	第二的
see	看
seldom	很少
sell	賣
send	寄
senior high school	國中
sentence	句子
September	九月
serious	正經的
seven	七
seventeen	十七
seventh	第七的
seventy	七十
several	數個的
shall	應該
shape	形狀
share	分享
she	她
sheep	羊
ship	船
shirt	襯衫
shoes	鞋子
shop	購物
shopkeeper	商主
short	短的
should	應該
shoulder	肩膀
show	出示
shy	害羞的
sick	生病的
side	邊
sidewalk	人行道
simple	簡單的
since	自從
sing	唱歌
singer	歌手
sir	先生
sister	姐妹
sit	坐
six	六
sixteen	十六
sixth	第六的
sixty	六十
size	尺寸
skirt	裙子
sky	天空
sleep	睡覺
slow	緩慢的
small	小的
smart	聰明的
smell	聞起來
smile	微笑
smoke	抽菸
snack	點心
snake	蛇
snow	下雪
so	如此地
socks	短襪
sofa	沙發
some	有些
someone	某人
something	某事
sometimes	有時候
somewhere	在某處
son	兒子
song	歌
soon	馬上
sorry	抱歉的
sound	聲音
soup	湯
south	南方
space	空間
speak	說話
special	特別的
spell	拼字
spend	花費
spoon	湯匙
sports	運動
spring	春天
square	正方形
stand	站立
star	星星
start	開始
station	車站
