baby sitter     保母
backpack        背包
backward        向後的
badminton       羽毛球
bake    烘烤
balcony 陽台
balloon 氣球
barbecue        烤肉
barber  理髮師
bark    吠叫
base    基底
basement        地下室
basic   基礎的
bat     球棒
bathe   洗澡
bean    豆子
beard   鬍鬚
beat    打擊
beauty  美麗
beer    啤酒
beginner        初學者
beginning       開始
behave  行為舉止
bench   長椅
besides 此外
beyond  越過
bike    腳踏車
bill    帳單
biology 生物學
bitter  苦味
blame   指責
blank   空白的
blanket 毛毯
bless   祝福
blood   血液
blouse  短衫
board   木板
boil    沸騰
bomb    炸彈
bone    骨頭
bookcase        書架
bother  打擾
bow     弓
bowling 保齡球
branch  樹枝
brave   勇敢的
brick   磚塊
broad   寬闊的
broadcast       廣播
brunch  早午餐
bucket  水桶
buffet  自助餐
bug     蟲子
building        建築物
bun     小圓麵包
bundle  包裹
burger  漢堡
burst   爆炸
butterfly       蝴蝶
button  鈕扣
