cabbage 甘藍菜
cable   電纜
cafeteria       自助餐館
cage    鳥籠
calendar        日曆
calm    沉著的
campus  校園
cancel  取消
cancer  癌症
candle  蠟燭
captain 上校
careless        粗心的
carpet  地毯
carrot  胡蘿蔔
cartoon 卡通
cash    現金
cassette        卡帶
castle  城堡
cause   原因
ceiling 天花板
centimeter      公分
central 中央的
century 世紀
cereal  穀類食物
certain 肯定的
channel 航道
character       性格
charge  收費
chart   圖表
chase   追捕
check   檢查
chemistry       化學
chess   西洋棋
childhood       童年時期
childish        孩子的
childlike       天真的
chin    下巴
choice  選擇
choose  挑選
chubby  豐滿的
clap    鼓掌
classical       標準的
clerk   店員
clever  聰明的
climate 氣候
closet  壁櫥
cloud   雲
coach   訓練
coast   海岸
cockroach       蟑螂
coin    硬幣
cola    可樂
college 大學
colorful        鮮豔的
comb    梳子
command 命令
comment 註釋
company 公司
compare 比較
complain        抱怨
complete        全部的
concern 關於
confident       有自信的
confuse 使困惑
congratulation  祝賀
consider        考慮
considerate     考慮周到的
contact lens    隱形眼鏡
continue        繼續
contract        契約
control 控制
convenience store       便利商店
conversation    會話
corn    小麥
corner  角落
cotton  棉花
cough   咳嗽
couple  一對
courage 勇氣
course  路線
court   法院
cowboy  牧羊人
crab    螃蟹
crayon  蠟筆
cream   奶油
create  創作
credit card     信用卡
crime   罪行
crowd   人群
crowded 擁擠的
cruel   殘酷的
culture 文化
cure    治療
curious 好奇的
current 當前的
curtain 窗簾
curve   曲線
custom  習俗
customer        顧客
