daily   每天的
damage  損失
danger  危險
dawn    黎明
deaf    聾的
deal    發牌
death   死亡
debate  辯論
decision        決心
decorate        裝飾
decrease        減少
deep    深的
deer    鹿
degree  度數
deliver 傳送
dentist 牙醫
department      部門
depend  相信
describe        描述
desert  沙漠
design  設計
desire  渴望
dessert 甜點
detect  發現
develop 成長
dial    撥號
diamond 鑽石
diary   日記
diet    節食
difference      差異
difficulty      困難
diligent        勤奮的
diplomat        外交官
dinosaur        恐龍
direct  指揮
direction       方向
disappear       消失
discover        發現
discuss 討論
discussion      討論
dishonest       不誠實的
distance        距離
distant 久遠的
divide  劃分
dizzy   頭暈目眩的
dodge ball      躲避球
dolphin 海豚
donkey  驢
dot     小圓點
double  雙倍的
doubt   懷疑
doughnut        甜甜圈
downstairs      樓下的
downtown        鬧區
dragon  龍
drama   戲劇
drawer  抽屜
dresser 梳妝台
drugstore       藥房
drum    鼓
dryer   吹風機
duck    鴨
dumb    啞的
dumpling        餃子
duty    責任
