eagle   鷹
earn    賺得
earrings        耳環
ease    放鬆
Easter  復活節
edge    邊緣
education       教育
effort  努力
elder   年齡較大的
elect   選舉
electric        電的
embarrass       尷尬
emotion 感情
emphasize       強調
employ  雇用
empty   空的
enemy   敵人
energetic       精力旺盛的
energy  幹勁
engine  引擎
engineer        工程師
entrance        入口
envelope        信封
environment     環境
envy    忌妒
equal   相等的
error   錯誤
especially      尤其
event   事件
everybody       每個人
everywhere      到處
evil    邪惡的
exam    考試
excite  刺激
exist   存在
exit    出口
expect  預期
explain 解釋
express 表達
extra   額外的
