hair dresser    美髮師
haircut 理髮
hall    大廳
Halloween       萬聖節前夕
hammer  鐵鎚
handkerchief    手帕
handle  把手
hang    吊起
hanger  衣架
hardly  幾乎不
heater  暖氣機
height  高度
helicopter      直升機
hen     母雞
hero    英雄
hey     喂
highway 公路
hike    遠足
hip     好
hippo   河馬
hire    雇用
hole    洞
homesick        想家的
honesty 誠實
honey   蜂蜜
hop     單腳跳
horrible        可怕的
host    主人
housewife       家庭主婦
housework       家事
hug     擁抱
human   人類
humble  謙遜的
humid   潮濕的
humor   幽默
humorous        幽默的
hunger  飢餓
hunt    打獵
hunter  獵人
