pain    疼痛
painful 痛苦的
painter 油漆工
pajamas 睡衣褲
pale    蒼白的
pan     平底鍋
panda   熊貓
papaya  木瓜
pardon  原諒
parking lot     停車場
parrot  鸚鵡
partner 夥伴
passenger       乘客
paste   糨糊
path    小徑
patient 有耐心的
pattern 花樣
pause   暫停
peace   和平
peaceful        平靜的
peach   桃子
pear    梨子
people  人們
pepper  胡椒
perfect 完美的
period  期間
personal        個人的
photo   照片
physics 物理學
pigeon  鴿子
pile    一堆
pillow  枕頭
pin     大頭針
pineapple       鳳梨
pipe    水管
plain   樸素的
planet  行星
plant   植物
plate   盤子
platform        平台
pleasant        舒適的
pleased 滿意的
pleasure        愉快
plus    加上
pocket  口袋
poem    詩
poison  毒藥
pollute 汙染
pollution       汙染
pond    池塘
pool    水池
pop music       流行音樂
population      人口
position        位置
positive        確實的
pot     鍋
potato  馬鈴薯
powder  粉末
power   權力
praise  稱讚
pray    祈禱
precious        珍貴的
president       總統
pressure        壓
priest  神父
primary 主要的
prince  王子
princess        公主
principal       主要的
principle       原則
print   印刷
printer 印刷工
private 私人的
prize   獎品
probably        大概
produce 生產
production      生產
professor       教授
progress        前進
project 計畫
promise 承諾
pronounce       發音
protect 保護
provide 提供
pump    抽吸
pumpkin 南瓜
punish  懲罰
puppy   小狗
purpose 目的
purse   錢包
puzzle  謎題
