abroad  國外
absent  缺席的
accept  接受
accident        事故
across  橫越
act     扮演
action  行動
active  活潑的
activity        活動
actor   男演員
actress 女演員
actually        實際上
add     增加
address 地址
admire  欣賞
adult 成年的
advertisement   廣告
advice  勸告
advise  勸告
affect  影響
against 反對
ahead   在前
aim     瞄準
air conditioner 空調
airlines        航線
alarm   警報
album   相簿
alike   相同的
alive   活著的
allow   允許
alone   單獨的
aloud   出聲地
alphabet        字母
altogether      完全
ambulance       救護車
among   在...之中
amount  總計
ancient 古代的
angel   天使
anger   生氣
ankle   腳踝
ant     螞蟻
anybody 任何人
anywhere        任何地方
apologize       道歉
appreciate      欣賞
area    面積
argue   爭吵
armchair        扶手椅
army    軍隊
arrange 安排
artist  藝術家
asleep  睡著的
assistant       助手
assume  假定為
attack  攻擊
attention       專心
available       可用的
avoid   避開
baby sitter     保母
backpack        背包
backward        向後的
badminton       羽毛球
bake    烘烤
balcony 陽台
balloon 氣球
barbecue        烤肉
barber  理髮師
bark    吠叫
base    基底
basement        地下室
basic   基礎的
bat     球棒
bathe   洗澡
bean    豆子
beard   鬍鬚
beat    打擊
beauty  美麗
beer    啤酒
beginner        初學者
beginning       開始
behave  行為舉止
bench   長椅
besides 此外
beyond  越過
bike    腳踏車
bill    帳單
biology 生物學
bitter  苦味
blame   指責
blank   空白的
blanket 毛毯
bless   祝福
blood   血液
blouse  短衫
board   木板
boil    沸騰
bomb    炸彈
bone    骨頭
bookcase        書架
bother  打擾
bow     弓
bowling 保齡球
branch  樹枝
brave   勇敢的
brick   磚塊
broad   寬闊的
broadcast       廣播
brunch  早午餐
bucket  水桶
buffet  自助餐
bug     蟲子
building        建築物
bun     小圓麵包
bundle  包裹
burger  漢堡
burst   爆炸
butterfly       蝴蝶
button  鈕扣
cabbage 甘藍菜
cable   電纜
cafeteria       自助餐館
cage    鳥籠
calendar        日曆
calm    沉著的
campus  校園
cancel  取消
cancer  癌症
candle  蠟燭
captain 上校
careless        粗心的
carpet  地毯
carrot  胡蘿蔔
cartoon 卡通
cash    現金
cassette        卡帶
castle  城堡
cause   原因
ceiling 天花板
centimeter      公分
central 中央的
century 世紀
cereal  穀類食物
certain 肯定的
channel 航道
character       性格
charge  收費
chart   圖表
chase   追捕
check   檢查
chemistry       化學
chess   西洋棋
childhood       童年時期
childish        孩子的
childlike       天真的
chin    下巴
choice  選擇
